Year,borough,geography,geography_id,Mean (mcg per cubic meter),10th Percentile (mcg per cubic meter),90th Percentile (mcg per cubic meter),
Winter 2012-13,Brooklyn, Brownsville (CD16),316,10.4 ,10.0 ,11.4 ,
Winter 2013-14,Brooklyn, Brownsville (CD16),316,11.9 ,11.5 ,12.8 ,
Summer 2009,Brooklyn, Bushwick (CD4),304,11.0 ,10.3 ,12.1 ,
Summer 2010,Brooklyn, Bushwick (CD4),304,12.1 ,11.5 ,13.2 ,
Summer 2011,Brooklyn, Bushwick (CD4),304,11.6 ,11.1 ,12.7 ,
Summer 2012,Brooklyn, Bushwick (CD4),304,10.5 ,9.9 ,11.6 ,
Summer 2013,Brooklyn, Bushwick (CD4),304,10.4 ,9.8 ,11.5 ,
Summer 2014,Brooklyn, Bushwick (CD4),304,9.0 ,8.4 ,10.2 ,
Winter 2008-09,Brooklyn, Bushwick (CD4),304,13.6 ,13.1 ,14.6 ,
Winter 2009-10,Brooklyn, Bushwick (CD4),304,10.0 ,9.5 ,10.9 ,
Winter 2010-11,Brooklyn, Bushwick (CD4),304,12.8 ,12.1 ,13.9 ,
Winter 2011-12,Brooklyn, Bushwick (CD4),304,9.3 ,8.7 ,10.4 ,
Winter 2012-13,Brooklyn, Bushwick (CD4),304,10.4 ,9.8 ,11.5 ,
Winter 2013-14,Brooklyn, Bushwick (CD4),304,12.1 ,11.4 ,13.3 ,
Summer 2009,Manhattan, Central Harlem (CD10),110,11.3 ,11.1 ,11.7 ,
Summer 2010,Manhattan, Central Harlem (CD10),110,12.4 ,12.2 ,12.7 ,
Summer 2011,Manhattan, Central Harlem (CD10),110,11.9 ,11.7 ,12.1 ,
Summer 2012,Manhattan, Central Harlem (CD10),110,10.8 ,10.6 ,11.1 ,
Summer 2013,Manhattan, Central Harlem (CD10),110,10.7 ,10.5 ,11.0 ,
Summer 2014,Manhattan, Central Harlem (CD10),110,9.1 ,8.8 ,9.3 ,
Winter 2008-09,Manhattan, Central Harlem (CD10),110,14.5 ,14.2 ,14.9 ,
Winter 2009-10,Manhattan, Central Harlem (CD10),110,11.5 ,11.0 ,11.9 ,
Winter 2010-11,Manhattan, Central Harlem (CD10),110,14.3 ,14.1 ,14.6 ,
Winter 2011-12,Manhattan, Central Harlem (CD10),110,10.8 ,10.6 ,11.1 ,
Winter 2012-13,Manhattan, Central Harlem (CD10),110,12.1 ,11.8 ,12.4 ,
Winter 2013-14,Manhattan, Central Harlem (CD10),110,13.0 ,12.8 ,13.4 ,
Summer 2009,Manhattan, Clinton and Chelsea (CD4),104,13.3 ,11.8 ,14.9 ,
Summer 2010,Manhattan, Clinton and Chelsea (CD4),104,14.1 ,12.8 ,15.3 ,
